id,name,coordinatesX,coordinatesY,creationDate,enginePower,distanceTravelled,type,fuelType
1,carname,806,922.0,1000,10201.0,213213.0,BOAT,MANPOWER
2,Vehicle1,5,56.0,1743004992673,300.0,393.0,BOAT,MANPOWER
3,Vehicle2,10,65.0,1743004992674,600.0,786.0,BICYCLE,DIESEL
4,Vehicle3,15,75.0,1743004992674,900.0,1179.0,HOVERBOARD,ALCOHOL
5,Vehicle4,20,85.0,1743004992675,1200.0,1572.0,BOAT,MANPOWER
6,Vehicle5,25,95.0,1743004992675,1500.0,1965.0,BICYCLE,NUCLEAR
7,Vehicle6,30,105.0,1743004992675,1800.0,2358.0,HOVERBOARD,KEROSENE
8,Vehicle7,35,115.0,1743004992675,2100.0,2751.0,BOAT,DIESEL
9,Vehicle8,40,125.0,1743004992675,2700.0,3144.0,BICYCLE,ALCOHOL
10,Vehicle9,45,135.0,1743004992676,2700.0,3537.0,HOVERBOARD,MANPOWER
11,Vehicle10,50,145.0,1743004992676,3000.0,3930.0,BOAT,NUCLEAR
