id,name,coordinatesX,coordinatesY,creationDate,enginePower,distanceTravelled,type,fuelType
1,carname,806,922.0,1742141727084,10201.0,213213.0,BOAT,MANPOWER
2,2,2,2.0,1742737047538,2.0,,,
3,dfafwef,-1000000000,1.4E-41,1742984722532,9.0E49,1.0,BOAT,NUCLEAR
4,Vehicle1,5,56.0,1742990343466,300.0,393.0,BOAT,MANPOWER
5,Vehicle2,10,65.0,1742990343468,600.0,786.0,BICYCLE,DIESEL
6,Vehicle3,15,75.0,1742990343469,900.0,1179.0,HOVERBOARD,ALCOHOL
7,Vehicle4,20,85.0,1742990343469,1200.0,1572.0,BOAT,MANPOWER
8,Vehicle5,25,95.0,1742990343470,1500.0,1965.0,BICYCLE,NUCLEAR
9,Vehicle6,30,105.0,1742990343470,1800.0,2358.0,HOVERBOARD,KEROSENE
10,Vehicle7,35,115.0,1742990343471,2100.0,2751.0,BOAT,DIESEL
11,Vehicle8,40,125.0,1742990343471,2700.0,3144.0,BICYCLE,ALCOHOL
12,Vehicle9,45,135.0,1742990343472,2700.0,3537.0,HOVERBOARD,MANPOWER
13,Vehicle10,50,145.0,1742990343472,3000.0,3930.0,BOAT,NUCLEAR
